FILE,TYPE_NAME,TYPE_KIND,PURPOSE,GENERATED_EQUIVALENT,NEEDS_MIGRATION,NOTES
frontend/src/features/projects/types.ts,ProjectStatus,type alias,API data model,Generated in shared/api/generated/types.ts,Yes,"UNION TYPE DUPLICATION: Generated has 'active|archived'. Local has 'ACTIVE|COMPLETED|ARCHIVED'. Mismatch - needs alignment"
frontend/src/features/projects/types.ts,PaginationMetadata,interface,API response envelope,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Identical to generated version. Should import from generated/types instead"
frontend/src/features/projects/types.ts,Project,interface,API data model,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Similar to generated with extra _count property. Should import from generated and extend if needed"
frontend/src/features/projects/types.ts,CreateProjectRequest,interface,API request type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches generated version. Should import from generated/types"
frontend/src/features/projects/types.ts,UpdateProjectRequest,interface,API request type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches generated version. Should import from generated/types"
frontend/src/features/projects/types.ts,ListProjectsParams,interface,API query parameters,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches generated ListProjectsParams. Should import from generated/types"
frontend/src/features/projects/types.ts,ListProjectsResponse,interface,API response envelope,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches ProjectsResponse type alias. Should use generated type alias"
frontend/src/features/tasks/types/index.ts,TaskStatusEnum,type alias,API data model,Generated in shared/api/generated/types.ts (as union in Task.status),Yes,"UNION TYPE MISMATCH: Generated has 'todo|in_progress|blocked|done' (lowercase). Local has 'TODO|IN_PROGRESS|IN_REVIEW|DONE' (uppercase). CRITICAL: Status values differ"
frontend/src/features/tasks/types/index.ts,TaskPriorityEnum,type alias,API data model,Generated in shared/api/generated/types.ts (as union in Task.priority),Yes,"UNION TYPE MISMATCH: Generated has 'low|medium|high|urgent' (lowercase). Local has 'LOW|MEDIUM|HIGH|URGENT' (uppercase). CRITICAL: Priority values differ"
frontend/src/features/tasks/types/index.ts,Task,interface,API data model,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches structure but uses uppercase enums. Should consolidate - use generated enums"
frontend/src/features/tasks/types/index.ts,CreateTaskRequest,interface,API request type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Uses uppercase enums. Should import from generated and adapt if needed"
frontend/src/features/tasks/types/index.ts,PaginationMetadata,interface,API response envelope,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Same as generated version. Should import from generated/types"
frontend/src/features/tasks/types/index.ts,GetTasksParams,interface,API query parameters,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches ListTasksParams. Should import from generated/types"
frontend/src/features/tasks/types/index.ts,UpdateTaskRequest,type alias,API request type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Partial<CreateTaskRequest> matches generated. Should import from generated"
frontend/src/features/tasks/types/index.ts,ListTasksResponse,interface,API response envelope,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches TasksResponse type alias. Should use generated type alias"
frontend/src/features/users/types.ts,User,interface,API data model,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Extended version with role field. Should import generated User or import base + extend"
frontend/src/features/users/types.ts,UpdateMeRequest,interface,API request type,N/A (UI-specific),No,UI-specific request for updating current user - not in generated types
frontend/src/features/users/types.ts,CreateUserRequest,interface,API request type,N/A (custom variation),Yes,"Not in generated types. Consider adding or verify if it's admin-specific functionality"
frontend/src/features/users/types.ts,UpdateUserRequest,interface,API request type,N/A (custom variation),Yes,"Not in generated types. Consider adding or verify if it's admin-specific functionality"
frontend/src/features/users/types.ts,ListUsersParams,interface,API query parameters,N/A (custom variation),Yes,"Similar to generated but with added role/isActive filters. Should use generated as base"
frontend/src/features/users/types.ts,ListUsersResponse,interface,API response envelope,N/A (custom variation),Yes,"Similar to PaginatedResponse but with explicit total. Should use generated PaginatedResponse instead"
frontend/src/features/settings/types/index.ts,UpdateProfileRequest,interface,API request type,N/A (custom),Yes,"Similar to UpdateUserRequest. Should consolidate or align with user management types"
frontend/src/features/settings/types/index.ts,ChangePasswordRequest,interface,API request type,N/A (custom),No,Settings-specific password change request - not found in generated types
frontend/src/features/settings/types/index.ts,UpdatePreferencesRequest,interface,API request type,N/A (custom),No,User preferences update - API-specific but not in generated types
frontend/src/features/settings/types/index.ts,UserPreferences,interface,API data model,N/A (custom),No,User preferences entity - API data model not in generated types
frontend/src/features/settings/types/index.ts,AccountInfo,interface,API data model,N/A (custom),No,Account summary entity - API data model not in generated types
frontend/src/shared/permissions/can.ts,UserRole,type alias,UI authorization,Generated in shared/api/generated/types.ts,Yes,"UNION TYPE DUPLICATION: Also in auth/types. Use single source of truth from generated"
frontend/src/shared/permissions/can.ts,Resource,type alias,UI authorization,N/A (UI-only),No,UI-only authorization model - no API equivalent needed
frontend/src/shared/permissions/can.ts,Action,type alias,UI authorization,N/A (UI-only),No,UI-only authorization model - no API equivalent needed
frontend/src/shared/permissions/can.ts,PermissionContext,interface,UI authorization,N/A (UI-only),No,UI-only authorization context for permission checking
frontend/src/shared/permissions/can.ts,PermissionUser,interface,UI authorization,Partial match with generated User,No,UI-only subset of User for permission evaluation - minimal data needed
frontend/src/shared/utils/errorHandling.ts,ApiErrorResponse,interface,UI error handling,N/A (matches ErrorResponse),No,Error handling utility - matches backend ErrorResponse structure
